ID,Eesti keel,Inglise keel,Saksa keel,Vene keel,Soome keel,Seletus,,Kirjeldus
2277,pinnakatte tuhmumine,blushing,Trübung f der Decklage,помутнение покрытия с,"sameneminen, himmentyminen",Pinnakatte tuhmumine hrl. veelaikude tõttu,,
2278,pinnakattele sadestunud tolm,nibs,auf die Decklage gefällte Staub m,осаждённая на покрытие пыль ж,pinnoitteet ovat likaisia,Kõvenemata pinnakattele nakkunud tolm,,
2279,pinnakattematerjali geelistumine,livering,Gelierung f,гелеобразование покрытия с,hierretyn maalin paksuneminen,"Pinnakatte kõvendamisel esinev staadium, mida iseloomustab voolavuse kadumine",,
2280,pinnakattematerjali kattevõime,spreading capacity,Deckvermögen n der Decklage,укрывистость покрытия ж,"peittokyky, peittävyys",Pinnakatet iseloomustav võime varjata aluspinna erineva heledusega alade piirjooni,,
2281,pinnatugevus (puitlaastplaadi),surface soundness,Oberflächenstarke?  f,прочность ж поверхности,pintalujuus,Puitlaastplaadi pinna sidustugevus,,
2282,pinnulisus,torn grain,rauher Sägeschnitt m,занозливость ж,rikkosyisyys,"Pinnakaredus, kui pinnalt osaliselt eraldunud puidukiud paiknevad tihedalt üksteise kõrval",,
2283,"pintseldamine, pintsliga katmine",brush,Anstreichen n,нанесение ср покрытия кистью,siveltimellä,Viimistluskatte pinnale kandmine käsitsi pintsli abil,,
2284,pintslijäljed pinnakattel,ropiness,Pinselspuren f pl,следы кисти,epätasainen raidallinen pinta,Mittesobivate reoloogiliste omadustega kattematerjali pintsliga pealekandmisel esinev pinnakatte ebatasasus,,
2285,"pird, peerg","chip, spill","Span m, Spleisse f",щепа ж,,Kooritud puuhalust (lõmmust) kistud laast. Kasutatud valgusallikana või tulehakatiseks,,
2286,piserdusseade,spray,Spritzanlage f,установка прызгальная ж,"sprinkleri, vihmuri",Seade vedeliku laialipritsimiseks peente piiskadena,,
2287,"pitskruvi, kruviriisk","adjustable clamp, cramp",Schraubzwinge f,струбцина,ruuvipuristin,Käsitsi käitatav kruvi põhimõttel töötav kinnitus- ja pingutustööriist tisleritöödel,,
2288,plaanseib,face plate,Planscheibe f,планшайба,"istukka, istutuslaite, kiinnitin",Treipingi liikumatu vedava toe külge kinnitatav ketas suure läbimõõduga detailide otstreimiseks,,
2289,"plaantreipink, otstreipink",facing lathe,"Plandrehmaschine f, Plandrehbank f","лоботокарный станок, лобовой токарный станок",jyrsinkone,"Treipink, kus treitooriku kinnitus on ainult plaanseibiga, treipeitel on kinnitatud suportisse või kasutatakse tugirauda",,
2290,plaat,"plate, sheet,  board, panel, table",Platte f,плита ж,"levy, laatta","Korrapärase kujuga materjal, mille paksus on oluliselt väiksem teistest mõõtmetest",,
2291,plaattüübel,"domino type dowel, loose tenon, slip tenon",Domino-Dübel m,"шкант типа Домино, шкант пластинчатый",?,Tapikeele kujuline ühendusvahend detailidele,,
2292,plank,plank,Planke  f,доска (толстая),lankku,"Saematerjal, mille paksus on suurem kui 40 mm ja/või laius suurem kui 200 mm",,
2293,plankimine,jointing,Jointvorgang m,"фугование, прфугование режущих кромок",egalisointi,Lõikeriista lõikeservade töötlemine ühele lõikeraadiusele neile pöörlemisel luisu surumisega,,
2294,plankliimpuit,glued solid timber,Balkenschichtholz n,массивная клеёная древесина ж,,Ehituspuidu element ristlõike üldiste mõõtmetega mitte üle 280 mm ja mis sisaldab kokkuliimitud kaks kuni viis oluliselt paralleelset kihti samast tugevusklassist või tootja spetsiifilisest tugevusklassist puhaspaksusega üle 45 mm kuni 85 mm.,,
2295,plastifikaator,plasticizer,Plastifizierungsmittel n,пластификатор,pehmite,"Viimistlusmaterjali või plasti komponent, mis annab neile materjalidele elastsuse ja alandab klaasistumistemperatuuri",,
2296,plastiga pealistatud plaat,plastic-faced board,plastikbeschichtete Platte f,плита ж облицованная пластиком,kalvolla pinnoitettu levy,"Plaat, millele on kantud plastikpealistus",,
2297,plastmööbel,plastic furniture,Plastmöbel n,мебель из пластмасс,muovikalusteet,"Mööbel, mille konstruktsioonis on ülekaalus plastmasselemendid",,
2298,plastne värv,plastic paint,plastische Farbe f,пластическая краска ж,plastinen maali,"Värv, mis on võimeline talle antud vormi säilitama",,
2299,"plastsus, plastilisus",plasticity,"Bildsamkeit f, Plastizität f",пластичность,plastisuus,Keha võime muuta purunemata talle rakendatud välisjõu mõjul oma kuju ja mõõtmeid ning säilitada jäävat (plastset) deformatsiooni pärast välisjõu mõju lakkamist,,
2300,platvorm,pallet,Plattform f,платформа ж,"lava, kuormalava",Mitmesuguse otstarbega rõhtne ümbrusest kõrgem tasandiline tarind,,
2301,pleegitamine,bleaching,Bleichen n,"линяние, облиняние",valkaisu,"Puidupinna heledamaks muutmine oksüdeerivate kemikaalide, poleerimisvahendi või pimsskivipulbri hõõrumisega ",,
2302,pleegitatavus,bleachability,Bleicbarkeit f,отбеливаемость ж,,Kiumassi omadus alluda pleegituslahuse toimele,,
2303,pleegitatud tselluloos,bleached pulp,gebleichter Zellstoff m,белёная целлюлоза ж,valkaistu sellu,Pleegitusprotsessi läbinud tselluloos,,
2304,pleegitus,bleaching,Bleiche f,отбелка ж ,valkaisu,"Tehnoloogiline protsess, mille eesmärgiks on toote valgesuse tõstmine",,
2305,pleegitusaste,bleaching degree,Bleichgrad m,степень ж белизны,valkaisuaste,Paberi või paberi lähtekomponentide valgesus võrrelduna etaloniga,,
2306,pleegitusjaoskond,bleachery,Bleichabteilung f,отбельный участок м,valkaisujaosto,"Tootmisjaoskond, kus toimub tselluloosi pleegitamine",,
2307,pleegituskadu,bleaching loss,Bleichverlust m,отбелочные потери мн,valkaisuhäviö,Pleegitusreaktsioonides lahustuv osa tselluloosist või puitmassist,,
2308,pleegituslahus,bleaching liquid,Bleichlauge f,отбеливающий раствор м,valkaisuliuous,Aktiivseid pleegituskemikaale sisaldav lahus,,
2309,pleegitusseade,bleaching apparatus,Bleichanlage f,отбельный аппарат м,valkaisuaparaatti,Tehnoloogiline seade massi pleegitamiseks,,
2310,pleegitustorn,bleaching tower,Bleichturm m,отбельная башня ж,valkaisutorni,Tornikujuline mahuti läbi mille juhitakse pleegitatav kiumass ja pleegituslahus ning milles toimuvad pleegitusreaktsioonid,,
2311,plekilisus,fleck (puidurike),Fleckigkeit f,пятнистость ж,täpläisyys,Plekkidega kaetus,,
2312,plekk,patch,Fleck m,пятно ср,"läikkä, täplä","Määrdumisest,  riknemises vm põhjusest tingitud teist värvi või tooni pinnaosa",,
2313,pliiatsipuit,pencil wood,Bleistiftholz n,оболочка ж,,Ühetaolise sruktuuriga puit pliiatsikestade valmistamiseks,,
2314,plokklauavirn,boule,Blockstapel m,штабель м  пакетами досок из одного бревна,,Virnastusviis saematerjali säilitamiseks ühest palgist saetud plokkidena,,
2315,plokkliimpuit ,block glued glulam,Verbundbauteil m aus Brettschichtholz,блочная клеёная древесина ж,,Ühenduskohta täitva adhesiiviga seotud kahte või enamat laudliimpuidu komponenti sisaldav ühtse täisnurkse ristlõikega konstruktsioonielement,,
2316,plotter,plotter,,,"tulostin, plotter",Lõigete või paigutuste väljaprintimiseks paberile,,
2317,plüüs,plush,Plüsch n,плюш,,"Sametitaoline siid-, villane- või puuvillane riie. Karvastik on pikem ja hõredam kui sametil ning võib olla ühtlane või mustriliseks pressitud?????",,
2318,"pneumokruvits, kruvikeeraja","pneumatic screwdriver, compressed-air screwdriver",Druckluftschraube(ndrehe)r,пневмоотверка,paineilmaruuvinväännin ??,Suruõhu jõul töötav kruvikeeraja,,
2319,pneumosorter,pneumatic screen,Pneumosortierer m,пневмосортировка ж,tuuliseula,"Sorter, mille töö põhineb erineva suuruse ja massiga puiduosakeste edasikandumisel erinevale kaugusele õhuvoolus",,
2320,pneumotööriist,pneumatic tool,Druckluftwerkzeug n,пнеумоинструмент,"paineilmatyökalu, paineilmakone",Suruõhu jõul töötav mehaaniline tööriist,,
2321,poleerija,polisher,Polierer m,полировщик м,kiillotuslaite,Poleerimist teostav oskustööline,,
2322,poleerimine,"smoothing, glazing, burnishing, sanding, buffing",polieren,полирование с,kiilotus,Viimistlustöödel peegelläike saavutamine,,
2323,poleerimispall,polishing  ball,"Polierballen m, Polierscheibe f",полировальный шар,kiillotus pallo,Sellakiga poleerimisel kasutatav linasesse või puuvillasesse  riidesse mähitud villa või vati pall,,
2324,poleerimisvahend,polisher,Poliemittel n,средство для полирования с,"kiillotin, kiilotusaine",Poleerimisel kasutatav materjal,,
2325,poleerpasta,polishing paste,Polierpaste f,полировочная паста,kiillotustahna,Pasta polüesterlaki kelmele poleerimisel kõrgläike andmiseks,,
2326,"poleerseib, poleerketas","mop, spindle mop, edge mop",Polierscheibe f,диск полировочный м,kiillotuslaikka,Poleerimisel kasutatav hrl tekstiilmaterjalist koostatud ketas,,
2327,"polster, pehmenduskate","bolster, cushioning, pad, padding, packing",Polster n,мягкая обивка,pehmuste,"Täiteainest, ka vedrudest ja katteriidest või nahast koosnev eseme pehme osa",,
2328,"polster, pehmenduskate","upholstery,bolster, cushioning, pad, padding, packing",Polster n,обивка,pehmuste,"Täiteainest, ka vedrudest ja katteriidest või nahast koosnev mööblieseme pehme osa",,
2329,polsterdamine,"upholstery, padding",Polsterung f.,обивка,pehmustaminen,Pehmemööblitoote pehme osa valmistamine,,
2330,polsterdamine,"upholstery, padding",Polsterung f.,изготовление обивки,verhoilu,Mööblitoote pehme osa valmistamine,,
2331,"polsterdatud mööbel, pehme mööbel","upholstered furniture, cushioned furniture",Polstermöbel n,мягкая обивка ,pehmustetut huonekalut,Pehme kattega mööbliesemed,,
2332,"polsterdatud mööbel, pehme mööbel","upholstered furniture, cushioned furniture",Polstermöbel n,мягкая обивка ж,pehmustetut huonekalut,Pehme kattega mööbliesemed,,
2333,polstri pikeering,,Ausgleichspolster n,настил ,tasoittuskerros,Polstri põhikihi ja pinnakihi vahel paiknev tasandav täidismaterjal,,
2334,polstri pikeeringu täidis,,Ausgleichspolster n,настилочный материал,,"Polstri pikeeringu täidismaterjalid nt jõhv, tehisjõhv, sisal, flokkvatt",,
2335,polstri pinnakihi täidis,,Wattierung f,материал повехностного слоя настила,pintatasoitus,"Polstri pinnakihi täidismaterjal nt vatiin, puuvillavatt, viltkangas, suled ja udusuled,…",,
2336,polstri pinnakiht,upholstery surface layer,Polsteroberflächenschicht f,повехностный слой настила,pintakerros,Polstri pikeeringu ja pealisriide vahel paiknev pehmenduskiht,,
2337,polstri põhikihitäidis,wadding,Polsterfüllung f.,набивочный материал,"täyteaine, toppaus","Polstri  põhikihi täidismaterjalid nt mererohi, puitvill, linatakk, kanepitakk, õled, poroloon",,
2338,polstri põhikiht,upholstery primary layer,Polstergrundschicht f,набивка,tikatu täytekerros,Vedrude katteriide ja põhikihi katteriide vahel asetsev läbivate pistetega läbi õmmeldud täidismaterjali kiht,,
2339,polstri tepitud pinnakiht ,quilt backing,gesteppte Watteline/Watte f.,простёганный ватин\вата,tikattu pintakerros, Tepitud vatiin/vatt,,
2340,polstrinael,upholstery nail,Polsternagel m,"гозди обойные, обивочные",verhoilunaula,"Laia peaga naelad polstri riide, vööde ja sidumisnööri kinnitamiseks",,
2341,polstritäidis,wadding,Polsterfüllung f.,набивочный материал,"täyteaine, toppaus",Polstri pehme osa täitematerjalid,,
2342,polt,bolt,Bolzen m,болт,pultti,"Vardakujuline kinnitusdetail, mille ühes otsas pea ja teine ots on keermestatud",,
2343,"poltseotis, poltliide",bolted joint,Bolzenverbindung f,соединение на болтах,pulttiliitos,Poldi ja mutri abil moodustatud lahtivõetav liikumatu liide,,
2344,polttõmmits,joint fastener with bolt and nut,Schraubenverbindung f,винтовая стяжка,pulttiliitos,"Poldist ja mutrist koosnev tõmmits, kus pingutusjõud saavutatakse poldi pööramise teel",,
2345,polüesterlakk,polyester varnish,Polyesterlack m,полиэфирный лак,polyesterilakka,"Kahealuseliste hapete ja alkoholide baasil saadud vaik, mille kõvenemine toimub kaksiksidemete kaudu",,
2346,polüesterviimistlus,polyester finish,Polyesterfinish n,отделка с полиэфиром ж,polyester pinnoite,Viimistlus peamiselt küllastamata kahealuseliste hapete ja mitmealuseliste alkoholide polükondensatsiooniprodukti baasil saadud pinnakattematerjaliga.,,
2347,polüsahhariidid,polysaccaride,Polysacharide n,полисахарид м,polysakkaridi,Monosahhariidide jääkidest koosnevad ühendid,,
2348,polüsulfiidtselluloos,polysulphide pulp,Polysulfidzellstoff m,полисульфидная целлюлоза ж,polysulfidisellu,Polüsulfiidide sisaldava leelisega naatronkeedul saadud tselluloos,,
2349,polüuretaanlakk,polyurethane varnish,Polyurethanlack m,полиуретановый лак,polyuretaani lakka,Polüestervaigu ja diisotsüanaatide baasil saadud pinnakate,,
2350,polüuretaanviimistlus,polyurethane finish,Polyurethanfinish n,отделка с полиуретаном ж,polyuretaani pinnoite,Viimistlus hrl polüestervaigu ja diisotsüanaatide polükondensatsiooniproduktide baasil saadud pinnakattematerjaliga,,
2351,polüvinüülatsetaat-emulsioon,polyvinylacetate emulsion,Polyvinylacetatemulsion f,поливинилатцетатная эмулсия ж,polyvinyyliasetaatti emulsio,Polüvinüülatsetaadi ~50% kuivainesisaldusega vesiemulsioon,,
2352,"polüvinüülatsetaatemulsioonliim, PVA liim",polyvinylacetate glue,Pulyvinylacetatklebstoff m,"поливинилфцетатно-эмулсионный клей, клей ПВА",polyvinyyliasetaattiliima,"Vesiemulsioonliim, mille sideaineks on PVA ja mis sisaldab emulgaatorit, plastifikaatorit, antfriisi jt lisakomponente",,
2353,poolautomaatliin,semi-automatic production line,halbautomatische Strasse f,полуавтоматическая линия,puoliautomaattinen tuotantolinja,"Automaatpingisüsteem, mille töö eeldab inimese osalist osavõttu",,
2354,poolautomaatpink,semi-automatic machine,Halbautomat m ,станок.полуавтомат,puoliautomaattinen kone,"Puidutöötluspink, mis sooritab iseseisvalt põhilise osa töötsüklist",,
2355,poolhõre puiste,semi open coating,halboffene Streuung f,полуразреженная посыпка ж,,Lihvmaterjali terade poolhõre paiknemine,,
2356,poolkuiv õli,semidrying oil,halbtrockenes Öl n,полусухое масло с,puolikuivuva öljy,Madala kaksiksidemete sisaldusega rasvhapetest koosnev looduslik õli,,
2357,poolkõva polster,semihard upholstery,halbhartes Polster n,полутвёрдая обивка,puolikova verhoilukerros,Kõvale alusele kinnitatud põhikihita polster (toolipõhi),,
2358,poolpehme polster,semisoft upholstery,halbweiches Polster n,полумягкая обивка,puolipehmeä verhoilukerros,Riide -või vööalusega raamile kinnitatud vedrudeta polster,,
2359,poolpeit-kalasabatapp,half blind dovetails,einfach verdecte Zinkung f,"угловое ящичное соединение на шип ""ласточкин хвост"" полупотай",puolipeittosinkkaus,"Nurkkasttappühendus, kus kalasabatapid on nähtavad peale koostamist ainult ühel detailil",,
2360,poolpeitpeaga puidukruvi,"ovalhead wood-screw, raised head wood-screw",Linsensenk[kopf]holzschraube f,шуруп с полутайной головкой,uppokupukantaruuvi,"Puidukruvi, mille pea moodustab sfääri ja koonuse liitkeha",,
2361,poolšarniirhing,,Aushängeband n,полушарнирная петля,,"Pooltiibadega hing uste, akende jne paigaldamiseks",,
2362,pooltangentsiaalne lõikus,faux quarter cutting/false quarter cutting,Faux Quartier Messern n,полутангентальное строгание ср,,"Höövelspooni lõikamise viis, kus eelnevalt veeranditeks lõigatud ümarpuidust hööveldatakse spoon tangentsiaallõike üleminekuga radiaallõikeks",,
2363,pooltselluloos,semichemical pulp,Halbzellstoff m,полуцеллюлоза ж,puolikemiallinen massa,Suure ligniini ja hemitsellulooside sisaldusega tselluloos saagisega 55-80%,,
2364,poomkant,wane,Baumkante f,обзол м,vajaasärmä,Tüvepinna osa koorega või ilma kooreta saematerjali mingil küljel või serval.,,
2365,poomkantlaud,waney edged board?,baumkantiges Brett n,обрезная с тупыми обзолами доска,vajaasärmäinen lauta,"Laud, millel esineb poomkant",,
2366,poor,"pore,  pit","Tüpfel m, Pore f",пора ж,huokonen,Väike õõs või tühik, taime rakukesta ava,
2367,pooritäitelakk,grain filler,Porenverschlusslack m,порозаполнитель,täytelakka,"Kruntlakk, mis täidab eriti rõngassooneliste puiduliikide pinnal olevad poorid ja vähendab sellega lõpp-viimistluslaki kulu",,
2368,pooritäitmine,bodying-in,Porenschließen n,порозаполнение с,huokosten täyttö,Pooritäitesegu kasutamine,,
2369,poorne tekstuur,open grain,poröse Textur f,"пористая текстура ж ,",huokoinen rakenne,Jämesoontega puidu tekstuur,,
2370,poorsus (puidupinna),pitting,Porosität f,пористость ж,huokoisuus,Soonte osatähtsust puidu pinnal iseloomustav karakteristik,,
2371,poorsus (viimistluskatte),porosity,Porosität f,пористость отделочного покрытия,,ja sobimatust vedeldist tingitud viimistlusrike,,
2372,poroloon,porolone,Schaumstoff n,поролон,vaahtomuovi ,Polstri täidismaterjalina kasutatav erineva elastsusega vahtpolüuretaan lehtmaterjal,,
2373,porolooniga dubleeritud mööbliriie,foam-backed fabric,Mit Schaumstoff dublierte Bezugstoff,"мебельная ткань, дублированная поролоном",vaahtomuovilla pehmustettu päälliskangas,Mööbliriidest ja poroloonist koosnev läbiõmmeldud kattekiht,,
2374,porolooniga dubleeritud mööbliriie,foam-backed fabric,Mit Schaumstoff dublierte Bezugstoff,"мебельная ткань, дублированная поролоном",vaahtomuovilla pehmustettu päälliskangas,Mööbliriidest ja poroloonist koosnev läbiõmmeldud või kokkuliimitud kattekiht,,
2375,porolooninuga,porolone knife,,нож для резки поролона,muoviveitsi,Pikk ja laia teraga nuga porolooni käsitsilõikuseks,,
2376,portaaliga formaatsaag,overhead panel saw (portal saw),Portalsägemaschine f zum Plattenzuschnitt/-formatschnitt,пильный станок портального типа для раскроя плит,levynpaloittelusaha,"Ketassaagmasin plaatide lahtilõikuseks, kus saesuport paikneb portaalil",,
2377,"positsioon, asetus","position, station","Stellung f, Position f",позиция,asento,Tooriku iga üksikasend pingi või lõikuri suhtes töötlemise käigus (töötlemisel),,
2378,positsioon-läbimoperatsioon,stationary-pass operation?,positione-durchläufige Operation f,позиционно-проходная операция,,"Operatsioon, mis omab positsioon- ja läbimoperatsiooni tunnuseid",,
2379,positsioon-läbimtöötlusega pink,stationary-pass operation machine?,Werkbank für positione-durchläufige Bearbeitung f,станок позиционно-проходной,?,"Puidutöötluspink, millel algul kinnitatakse toorik etteande-seadmele (positsioon) ja antakse seejärel lõikureile ette (läbim)",,
2380,"positsioonmasin, positsioonpink",machine for stationary processing,"Maschine f zur Stationärbearbeitung, Positionbearbeitungsmaschine f",станок позиционный,kiinteä laite,"Puidutöötluspink, milles toorik seisab töötlemise ajal paigal (positsioonis)",,
2381,positsioonoperatsioon,stationary operation?,Positionsoperation f,позиционная операция,?,"Operatsioon, mis sooritatakse pinki kinnitatud tooriku juures",,
2382,post,"pole, post, stock","Stange f, Pfosten m",столб м,pylväs,Pikk ümarpuit üksikult püstasendis kasutamiseks.,,
2383,postforming,postforming,"Postforming n, Verformung f von Schichttsoffplatte für abgerundete Teile",постформинг,jälkimuovaus,Plaatdetailide kumerate servade pealistamise tehnoloogia laminaadi või plastikuga?,,
2384,postprotsessor,postprocessor,Postrozessor m,постпроцессор,jälkikäsittelyohjelmisto,"Fail, mis moodustab NC koodi CAM programmi väljunndist teatud kindlale CNC masinale",,
2385,ppi,points per inch,punkte pro Zoll,количество вершин зубьев пилы на один дюим,pistettä tuumalla,Sae hambatippude arv ühel tollil,,
2386,praaklaud,rejected board,Brackbrett n,бракованная доска ж,hylkylauta,Ettenähtud kasutamiseks kõlbmatu laud,,
2387,praakmaterjal,"refuse, degrade, cull, brack",Brackmaterial n,бракованный материал м,"hylkytavara, hylkypuu, raakki",Ettenähtud kasutamiseks kõlbmatu materjal,,
2388,pragu,"fissure, rift, slit, crack","Riß m, Spalte f",трещина РР,halkeama,"Lõhe, pilu või mõra",,
2389,pragunemistundlikkus,susceptibility to cracking,Berstenempfindligkeit f,воспримчивость ж растрескиванию,,Kalduvus pragunemisele,,
2390,press,press,Presse f,пресс м,puristin,"Seade, mis sujuvalt, ilma löökideta, surub töödeldavat objekti",,
2391,pressdefibröör,pocket grinder,Pressenschleifer m,прессовый дефибрёр м,taskuhiomakone,"Defibröör, milles puidu surumine vastu defibröörikivi toimub hüdropressidega",,
2392,pressialus,press bed,Pressunterlage f,основание ср пресса,alusta,Pressi massiivne alumine osa,,
2393,"pressiava, pressivahe",press opening,Pressenöffnung f,"просвет м пресса, рабочий промежуток м пресса","avaus, avauma",Mitmekorruselise pressi pressiplaatide vaheline suurim kaugus avatud asendis,,
2394,pressimine,pressing,Pressung f,прессование ср,"puristus, prässäys",Pressis surumine,,
2395,pressimisaeg,pressing time,Presszeit f,время выдержки под давлением,,Surve all hoidmise aeg pressimisel,,
2396,pressimissurve,pressure,Pressdruck m,удельное давление прессования,,Surve suurus materjali või esemete mõjutamisel surve abil,,
2397,pressivahe,nip,"Walzenspalt m, Kniff m",щель ж прессования,"nippi, puristuskohta",Pressimistsoon valtspressis,,
2398,pressivalts,press roll,Presswalze f,прессовый вал м,puristintela,"Sileda või reljeefse pinnaga metallvalts, mille ülesandeks on märjast paberikangast vee väljapressimine",,
2399,pressivilt,press felt,Pressfilz m,прессовое сукно ср,puristinhuopa,"Tihe villane või puuvillane kangas, mille ülesandeks on paber kanda valtspressi, vältida paberi kahjustusi ja vastu võtta väljapressitavat vett",,
2400,pressvorm,"mo(u)ld, pattern",Preßform f,прессформа ж,"muotti, malline","Vorm plastmassist, liimitatud puiduosakestet jm materjalist esemete tootmiseks pressimise teel",,
2401,primaarkiudaine,"primary fibre, virgin fibre","Primärfaser f, Frishfaser f",свежее волокно ср,"ensiökuitu, primäärikuitu",Esmakasutuses olev tselluloos või puitmass,,
2402,primaarpuit,primary xylem,Primärholz n,первичная древесина ж,,"Tüves säsi ümbruses ladestunud esimeste aastarõngaste puit, millel on madalad mehaanilised omadused",,
2403,profiil,profile,Profil n,"профиль м, поперечное сечение",profiili,Ristlõike kuju,,
2404,"profiilfreesimine, kujufreesimine",profile cutting,Profilfäsen n,профильное фрезерование древесины,muotojyrsintä,"Puidu freesimine lõikeriistaga, mille lõikeserv koosneb kõverjoonelistest elementidest",,
2405,profiilfreespink,profile-forming machine,Profilfräsmaschine f,фасоннофрезерный станок,muotojyrsin,Masin profiilfreesimiseks,,
2406,profiilhööveldamine,mo(u)lding,Kehlen n,"калевание, фрезерование продольного профиля",muotohöyläys,Profiilhöövelmaterjalidele pikifreesimisega profiili hööveldamine (freesimine),,
2407,profiili baasjoon,reference length of the profile,tragende Länge f,опорная длина профиля,oletusmitta,Pinna hindamiseks selle profiili suhtes teatud põhimõttel tõmmatud joon,,
2408,profiili baaspikkus,"sampling length, roughness-width cutoff","Bezugsstrecke f, Rauheitsbezugsstrecke f",базовая длина,mittausjakso,"Baasjoone lõik, mida kasutatakse pinda iseloomustatavate kvantitatiivsete näitajate määramiseks",,
2409,profiilifreesid,profile cutters,Profilfräswerkzeuge pl,фрезы мн фасонные,,Lõikeriistad mitmesuguste profiilide lõikamiseks,,
2410,profiilihöövli tera,"profile knife, forming tool","Fassonhobelmesser m, Kehlhobelmesser m",профильный строгальный нож,muotohöylän terä,Nuga profiilseks hööveldamiseks käsihöövlis,,
2411,profiillihvpink,curve and form sanding machine,Profilschleifmaschine f,профилешлифовальный станок,profiilihiomakone,Profiilsete ja kõverjooneliste pindade lihvmasin,,
2412,profiilnuga,profiled knive,Profilmesser n,профильный нож,muototerä,Noavõlli sissepandavad eelnevalt profileeritud noad puidu kujufreesimiseks,,
2413,profiilpuit,profiled timber,Profilholz n,фасонная древесина ж,,"Saematerjal, mis on pärast kuivatamist töödeldud spetsiifilisse täisnurksest erinevasse ristlõikesse",,
2414,profileerimine,"profiling, shaping",Profilierung f,"профилирование, фасонирование","profiloiminen, profilointi",Profiili töötlemine lõiketerasse,,
2415,profilomeeter,"profilometer, profile gauge",Profilomesser m,профилометр м,profilomittari,Riist pinnakonaruste ja pinnakareduse mõõtmiseks,,
2416,programmjuhtimine,"programmable control,  program control","Programmsteuerung f, Programmregelung f",програмное управлениу,ohjelmoitu ohjausjärjestelmä,Automaatjuhtimine programmi alusel,,
2417,pronks,bronze,Bronze n,бронза,pronssi,"Vase ja lisandite (tina, alumiiniumi, berülliumi, räni, kroomi) sulam",,
2418,propsid,"pulpwood, pulp bolts, pitwood, stick","Grubenholz n, Papierholz n","пропсы мн, балансы мн",propsi,"Peenike ja lühike ümarpuit, peamiselt tselluloositööstuse toore",,
2419,protoligniin,protolignin,Protolignin n,протолигнин м,protoligniini,Ligniin looduslikus olekus,,
2420,protoplasma,protoplasm,Protoplasma n,протоплазма,protoplasma,"Raku elusaine ehk valkude, süsivesikute, rasvade ja mitmesuguste soolade kolloidne süsteem vees",,
2421,prunt,peg,"Spund m, Propfen m",шпунт м,"tappi, puunaula, puutappi","Ava sulgev puupulk, punn vm selle otstarbega ese",,
2422,pruss,"cant, rectangular timber, squared log, bar, slab, squared timber","Balken n, Bohle f, Kantholz f",брус м,"parru, pelkka",Suure ristlõikega saematerjal (Põhjamaade standardi järgi paksusega üle 75 mm),,
2423,prussimine,"squaring, slab edging, slabbing",Kantschnitt m,брусовка ж,jakosahaus,"Palgi lahtisaagimise viis, mille puhul palgist saetakse välja algul kahetahuline pruss, mis seejärel saetakse lahti saematerjaliks",,
2424,prussimissaag[pink],"cantsaw, slabber, headrig",Blockkreissägemaschine f,круглопильный станок для распиловки брёвен,pelkkasaha,Ketassaagmasin palgi saagimiseks prussiks,,
2425,prussisaag,circular resaw,Trennkreissägemaschine f,круглопильный делительный станок,jakosaha,Ketassaagmasin prusside lahtilõikamiseks laudadeks,,
2426,prusstoorik,bar blank,"Balkenrohling n, Rohbalken n",брусовая заготовка ж,pelkka,Edasiseks töötlemiseks kasutatav pruss,,
2427,pruun puitmass,brown mechanical pulp,braun Holzstoff m,бурая древесная масса ж,ruskea puumassa,Tumeda värvusega pleegitamata defibröör- või rafinöörpuitmass,,
2428,pruunlaiksus,brown streak,Braunstreif m,побурение с,ruskotäpläisyys,Värvusrike pruunikate leegikujuliste laikudena.Esineb ainult pärast langetami,,
2429,pruunmädanik,"brown rot, cubical rot",Braunfäule f,бурая гниль ж,ruskolaho,"Tselluloosi ja hemitselluloose kahjustavate seente poolt põhjustatud mädanik, millest jääb järgi pudeda jäägina kahjustamata ligniin",,
2430,prügi,"contraries, impurities",Schmutzstoffe pl,сор м,haitteet,Tselluloosimassist eraldatavad kasutuskõlbmatud orgaanilised või mineraalsed osakesed,,
2431,prügisus,dirt-count,Schmtzfleckenzahl f,сорность ж,roskaluku,Visuaalselt eristatavate võõrosiste sisaldus tselluloosis,,
2432,psühromeeter  ,psychrometer,Psychrometer n,пcиxpoмeтp,,Riist õhu niiskuse mõõtmiseks,,
2433,psühromeetriline vahe,wet bulb depression,psychrometrische Differenz f,психрометрическая разница ж,kuivan ja kostean lämpömittarin näyttämän ero,Kuiva ja märja termomeetri näitude vahe mingites kliimatingimustes,,
2434,puhas mass,accepted stock,Gutstoff m,чистая масса ж,hyväksytty massaliete,Sorteerimisprotsessi läbinud kvaliteetne mass,,
2435,puhashööveldus,"planing off, finish planing","Schlichthobeln n, Fertighobeln n",строгание чистовое,tasoitushöyläys,"Hööveldusoperatsioon, mille tagajärjel saadakse sile tasane puidu pind viimistlemiseks",,
2436,puhaskoorimine,clean barking,Reinrindung f,чистая окорка ж,puhdas kuorinta,Koore täielik eemaldamine puidult,,
2437,puhaskoorimine,"clean barking, barking in full","Feinentrindung f, Vollentrindung f",чистая окорка ж,täyspuhdistus,Täielik koore eemaldamine kooritava materjali pinnalt,,
2438,puhasmõõde,net size ,Fertig-Mass n  ,чиsтoвoй paзмep ,,Valmis toote mõõde,,
